restaurant_name,food_name,size,kcal,protein,fats,carbs
KFC,Nóżka/DrumsHck (Kentucky),69 g,169.0,15.0,10.0,6.1
KFC,Pierś/Breast (Kentucky),100 g,236.0,27.0,11.0,7.3
KFC,Żebro/Rib (Kentucky),150 g,310.0,40.0,14.0,7.6
KFC,Udko/Thigh (Kentucky),111 g,276.0,23.0,17.0,6.4
KFC,Skrzydło/Wing (Kentucky),65 g,189.0,16.0,11.0,7.2
KFC,Nóżka / DrumsHck (Hot&Spicy),89 g,205.0,19.0,12.0,6.0
KFC,Pierś / Breast (Hot&Spicy),126 g,302.0,30.0,21.0,8.7
KFC,Żebro /Rib (Hot&Spicy),203 g,466.0,36.0,33.0,26.0
KFC,Udko/Thigh (Hot&Spicy),139 g,397.0,25.0,33.0,12.0
KFC,Skrzydełko/Wing (Hot&Spicy),74 g,234.0,16.0,16.0,6.9
KFC,Hot & Spicy Strips/ pikantne polędwiczki kurczaka,32 g,92.0,6.6,5.0,3.2
KFC,Hot Wings/ pikantne skrzydełka,36 g,114.0,7.0,7.4,5.0
KFC,Hot & Spicy Bites/Chrupiące Bites,90 g,291.0,17.0,18.0,14.0
KFC,Zinger Burger,170 g,445.0,25.0,22.0,36.0
KFC,Zinger Max,240 g,590.0,41.0,29.0,41.0
KFC,Zinger Ser&Bekon / Cheese&Bacon,200 g,524.0,30.0,26.0,40.0
KFC,Grander Burger,300 g,756.0,37.0,38.0,61.0
KFC,Grander Double Burger,415 g,1075.0,60.0,56.0,81.0
KFC,Longer,127 g,309.0,15.0,8.0,43.0
KFC,CheeseBurger,125 g,309.0,17.0,9.0,40.0
KFC,iTwist,132 g,350.0,11.0,18.0,38.0
KFC,Twister,226 g,579.0,23.0,30.0,57.0
KFC,Mega pocket,287 g,715.0,30.0,37.0,62.0
KFC,Qurrito Grande,320 g,1078.0,46.0,64.0,80.0
KFC,Qurrito,230 g,692.0,35.0,38.0,53.0
KFC,Grander Kentucky Gold Burger,320 g,842.0,36.0,45.0,78.0
KFC,Kentucky Gold Wrapper,350 g,1197.0,42.0,77.0,91.0
KFC,Halloumi Vege Burger,280 g,708.0,31.0,39.0,55.0
KFC,Twister Halloumi Vege,260 g,697.0,28.0,44.0,44.0
KFC,Qurrito Śniadaniowe/Breakfast Qurrito,220 g,548.0,30.0,35.0,25.0
KFC,Tost z jajkiem i serem/ Toast with egg and cheese,150 g,368.0,17.0,20.0,31.0
KFC,Brioszka śniadaniowa/ Breakfast bagiel,250 g,680.0,30.0,33.0,68.0
KFC,"Podwójny toast z jajkiem, serem i bekonem/ Doubledecker toast with egg, cheese and bacon",300 g,738.0,35.0,41.0,55.0
KFC,Bajgiel śniadaniowy,240 g,638.0,29.0,26.0,70.0
KFC,Pepperoni 3 plasterki / Pepperoni 3 slices,5 g,26.0,1.1,2.4,0.0
KFC,Pepperoni 5 plasterków/ Pepperoni 5 slices,10 g,51.0,2.1,4.8,0.0
KFC,Ryż i bites z sosem słodkie chilli Standard / Sweet chili rice and bites Standard,260 g,697.0,19.0,16.0,120.0
KFC,Ryż i bites z sosem słodkie chilli Grande/ Sweet chilli rice and bites Grande,330 g,884.0,24.0,20.0,152.0
KFC,Ryż i Bites Orientalny Teriyaki Standard/ Teriyaki rice and bites Standard,260 g,476.0,14.0,15.0,73.0
KFC,Ryż i Bites Orientalny Teriyaki Grande/ Teriyaki rice and bites Grande,330 g,604.0,17.0,19.0,92.0
KFC,Bites z sosem Słodkie Chilli Standard/ Bites Sweet Chilli Standard,182 g,561.0,27.0,34.0,37.0
KFC,Bites z sosem Słodkie Chilli Grande/ Bites Sweet Chilli Grande,307 g,946.0,46.0,58.0,62.0
KFC,Bites Orientalny Teriyaki Standard,180 g,567.0,28.0,34.0,39.0
KFC,Bites Orientalny Teriyaki Grande,307 g,967.0,47.0,58.0,67.0
KFC,Poke Bowl California Sun z ryżem i bitesami,362 g,478.0,18.0,21.0,58.0
KFC,Poke Bowl California Sun z ryżem i halloumi,372 g,409.0,23.0,16.0,48.0
KFC,Poke Bowl California Sun z sałatą i bitesami,282 g,347.0,17.0,17.0,34.0
KFC,Poke Bowl California Sun z sałatą i halloumi,292 g,277.0,12.0,15.0,27.0
KFC,Poke Bowl Sweetest Chilli z ryżem i bitesami,332 g,435.0,23.0,16.0,52.0
KFC,Poke Bowl Sweetest Chilli z ryżem i halloumi,342 g,407.0,21.0,16.0,50.0
KFC,Poke Bowl Sweetest Chilli z sałatą i bitesami,252 g,315.0,22.0,17.0,20.0
KFC,Poke Bowl Sweetest Chilli z sałatą i halloumi,262 g,286.0,18.0,17.0,17.0
KFC,Cezar Poke/ Caesar Poke,240 g,696.0,31.0,53.0,24.0
KFC,Frytki / French fries,80 g,202.0,3.0,8.0,30.0
KFC,Duże Frytki / French fries large,115 g,290.0,4.0,12.0,43.0
KFC,Duże Frytki XL/ Big Fries XL,150 g,378.0,5.0,12.0,56.0
KFC,Kubełek Frytek/ French fries bucket,240 g,605.0,9.0,26.0,89.0
KFC,Kukurydza z masłem/ Corn cob with buPer,125 g,168.0,5.0,2.0,31.0
KFC,Krążki cebulowe/ Onion rings (6 szt.),90 g,288.0,5.0,14.0,38.0
KFC,Coleslaw/ Coleslaw salad,140 g,147.0,2.0,10.0,15.0
KFC,Sos Kentucky Gold/Kentucky Gold sauce dip,25 g,108.0,0.0,9.0,6.5
KFC,Sos Sweet Chili/Sweet chili sauce,25 g,43.0,0.0,0.0,11.0
KFC,Sos BBQ/ BBQ sauce,25 g,26.0,0.0,0.0,5.8
KFC,Sos majonezowo - czosnkowy / Mayonnaise - Garlic sauce dip,25 g,108.0,1.0,11.0,2.0
KFC,Sos Majonezowy/ Mayo sauce,25 g,109.0,0.0,11.0,1.7
KFC,Ketchup,12 g,15.0,0.0,0.0,3.0
KFC,Sos Mango Bango/ Mango Bango sauce,25 g,34.0,0.0,0.0,8.3
KFC,Sos Wasabi Mayo/ Wasabi Mayo Sauce,20 g,92.0,0.0,9.0,2.0
KFC,Sos Extra Spicy ( Carolina sauce),25 g,23.0,0.0,0.0,5.0
KFC,Cheezy PaPy,90 g,314.0,6.0,21.0,25.0
KFC,Kentucky Gold Fries,155 g,473.0,6.0,26.0,49.6
KFC,Sos o smaku czekoladowym / Chocolate flavor sauce,30 g,97.0,1.1,3.3,15.0
KFC,Sos truskawkowy / Strawberry sauce,30 g,49.0,0.2,0.0,12.0
KFC,Sos o smaku karmelowym (krówkowym)/ caramel flavor sauce,30 g,99.0,0.7,1.8,20.0
KFC,Pancakes (bez sosu) / Pancakes (without sauce),180 g,695.0,9.1,40.0,72.0
KFC,Pancakes (2 szt.) z sosem o smaku czekoladowym/Pancakes (2 pcs) with chocolate flavor sauce,130 g,463.0,6.3,25.4,50.0
KFC,Pancakes (3 szt.) z sosem o smaku czekoladowym /Pancakes (3 pcs) with chocolate flavor sauce,180 g,893.0,12.3,50.0,94.0
KFC,Pancakes (2 szt.) z sosem truskawkowym/ Pancakes (2 pcs) with strawberry sauce,130 g,414.0,5.5,22.1,47.0
KFC,Pancakes (3 szt.) z sosem truskawkowym/ Pancakes (3 pcs) with strawberry sauce,180 g,825.0,11.3,46.0,89.0
KFC,Pancakes (2 szt.) z sosem o smaku karmelowym/Pancakes (2 pcs) with caramel flavour sauce,130 g,464.0,5.9,23.9,55.0
KFC,Pancakes (3 szt.) z sosem o smaku karmelowym/Pancakes (3 pcs) with caramel flavour sauce,180 g,940.0,12.4,51.0,105.0
KFC,Pancakes (2 szt.) z sosem o smaku czekoladowym i bitą śmietaną/Pancakes (2 pcs) with chocolate flavor sauce and whipped cream,140 g,518.0,6.7,28.1,61.0
KFC,Pancakes (3 szt.) z sosem o smaku czekoladowym i bitą śmietaną /Pancakes (3 pcs) with chocolate flavor sauce and whipped cream,190 g,692.0,8.9,38.0,79.0
KFC,Pancakes (2 szt.) z sosem truskawkowym i bitą śmietaną /Pancakes (2 pcs) with strawberry sauce and whipped cream,140 g,473.0,5.7,25.1,57.0
KFC,Pancakes (3 szt.) z sosem truskawkowym i bitą śmietaną/ Pancakes (3 pcs) with strawberry sauce and whipped cream,190 g,667.0,8.3,37.0,76.0
KFC,Pancakes (2 szt.) z sosem o smaku karmelowym i bitą śmietaną /Pancakes (2 pcs) with caramel flavour sauce and whipped cream,140 g,512.0,6.0,26.9,65.0
KFC,Pancakes (3 szt.) z sosem o smaku karmelowymi bitą śmietaną/Pancakes (3 pcs) with caramel flavour sauce and whipped cream,190 g,692.0,8.4,37.0,82.0
KFC,Topping bita śmietana / Topping: whipped cream,18 g,52.0,0.4,4.7,2.0
KFC,Topping: bita śmietana+ sos o smaku karmelowym/ Topping: whipped cream + caramel flavour sauce,28 g,192.0,0.6,5.3,9.0
KFC,Topping: bita śmietana+ pianki / Topping: whipped cream + marshmallow,28 g,85.0,0.8,4.8,10.0
KFC,Shake Wanilia /Vanilla Shake 180 ml,180 g,216.0,5.6,6.3,36.0
KFC,Shake Mocno waniliowy / Strongly Vanilla Shake 300 ml,300 g,324.0,8.4,9.5,54.0
KFC,Shake Mocno waniliowy / Strongly Vanilla Shake 500 ml,500 g,480.0,12.0,14.0,80.0
KFC,Shake Truskawka/Strawberry Shake 180 ml,180 g,234.0,5.0,5.0,42.0
KFC,Shake Truskawka/Strawberry Shake 300 ml,300 g,351.0,7.6,7.6,65.0
KFC,Shake Truskawka/Strawberry Shake 500 ml,500 g,533.0,11.0,11.0,98.0
KFC,Shake Czekolada/Chocolate Shake 180 ml,180 g,326.0,6.5,10.0,52.0
KFC,Shake Czekolada/Chocolate Shake 300 ml,300 g,480.0,9.6,15.0,76.0
KFC,Shake Czekolada/Chocolate Shake 500 ml,500 g,742.0,15.0,24.0,118.0
KFC,Shake Krówka/Shake Fudge 180 ml,180 g,279.0,5.2,6.5,50.0
KFC,Shake Krówka/Shake Fudge 300 ml,300 g,411.0,7.6,10.0,74.0
KFC,Shake Krówka/Shake Fudge 500 ml,500 g,636.0,12.0,15.0,114.0
KFC,Shake Peanut BuPer(Masło orzechowe) 180 ml,180 g,311.0,12.0,15.0,33.0
KFC,Shake Peanut BuPer (Masło orzechowe) 300 ml,300 g,424.0,17.0,21.0,43.0
KFC,Shake Peanut BuPer (Masło orzechowe) 500 ml,500 g,675.0,27.0,33.0,70.0
KFC,Shake Coffee Frappe 180 ml,180 g,184.0,5.6,6.0,29.0
KFC,Shake Coffee Frappe 300 ml,300 g,270.0,8.2,8.0,41.0
KFC,Shake Coffee Frappe 500 ml,500 g,418.0,13.0,13.0,66.0
KFC,Shake Wanilia z piankami marshmallow/ Shake Vanilla marshmallow 180 ml,180 g,468.0,5.6,11.0,43.0
KFC,Shake Wanilia z piankami marshmallow/ Shake Vanilla marshmallow 300 ml,300 g,780.0,9.3,18.0,72.0
KFC,Shake Wanilia z piankami marshmallow/ Shake Vanilla marshmallow 500 ml,500 g,1118.0,13.0,26.0,103.0
KFC,Churros bez sosu/ churros without sauce,40 g,132.0,2.6,5.0,18.0
KFC,"Sos o smaku czekoladowym dodatek do churros / Chocolate-flavored sauce, an addiHon to churros",30 g,97.0,1.0,3.0,15.0
KFC,Sos truskawkowy dodatek do churros / Strawberry sauce an addiHon to churros,30 g,49.0,0.2,0.0,12.0
KFC,Sos o smaku karmelowm ( krówkowym) dodatek do churros / Fudge sauce an addiHon to churros,30 g,99.0,1.0,2.0,20.0
KFC,Topping bita śmietana do lodów w kubeczkach / Topping whipped cream for ice cream in cups,15 g,44.0,0.3,4.0,2.0
KFC,Topping marshmallow do lodów w kubeczkach / Marshmallow topping for ice cream in cups,10 g,33.0,0.0,0.0,8.0
KFC,Lody waniliowe-mała porcja / Vanilla ice cream small,74 g,280.0,6.6,9.0,43.0
KFC,Creamies Krówka/ fudge,150 g,282.0,5.0,11.0,41.0
KFC,Creamies Truskawka / strawberry,150 g,359.0,5.7,11.0,32.0
KFC,Creamies Czekolada / chocolate,150 g,276.0,6.0,11.0,39.0
KFC,Ice Cream Deluxe Lody Czekoladowe/ Ice Cream Deluxe Chocolate 150ml,101 g,213.0,2.6,8.0,30.0
KFC,Ice Cream Deluxe Lody Czekoladowe/ Ice Cream Deluxe Chocolate 460 ml,294 g,623.0,8.0,27.0,85.0
KFC,Ice Cream Deluxe Lody Truskawkowe / Ice Cream Deluxe Strawberry 150 ml,101 g,206.0,2.6,8.0,30.0
KFC,Ice Cream Deluxe Lody Truskawkowe / Ice Cream Deluxe Strawberry 460 ml,294 g,612.0,9.0,26.0,85.0
KFC,Ice Cream Deluxe Lody Karmelowe / Ice Cream Delux Caramel 150 ml,95 g,229.0,3.0,10.0,30.0
KFC,Ice Cream Deluxe Lody Karmelowe / Ice Cream Delux Caramel 460 ml,294 g,694.0,9.0,32.0,91.0
KFC,Kawa Espresso Doppio 100ml,100 g,2.0,0.0,0.0,0.3
KFC,Kawa Espresso 50 ml,50 g,1.0,0.0,0.0,0.1
KFC,Kawa Americano/Coffe Americano 200 ml,200 g,4.0,0.0,0.0,0.5
KFC,Kawa Americano/Coffe Americano 400 ml,400 g,8.0,0.0,0.0,1.1
KFC,Kawa z mlekiem 200 ml,200 g,28.0,2.0,1.0,3.0
KFC,Kawa z mlekiem 400 ml,400 g,56.0,5.0,1.0,6.0
KFC,Kawa LaPe/Coffe LaPe 200 ml,200 g,66.0,5.0,2.0,7.4
KFC,Kawa LaPe/Coffe LaPe 400 ml,400 g,132.0,10.0,4.0,15.0
KFC,Kawa Cappuccino/ Coffe Cappuccino 200 ml,200 g,68.0,5.0,2.0,7.4
KFC,Kawa Cappuccino/ Coffe Cappuccino 400 ml,400 g,136.0,10.0,4.0,14.8
KFC,Kawa Flat white 200 ml,200 g,68.0,5.0,2.0,7.8
KFC,Kawa Flat white 400 ml,400 g,136.0,10.0,4.0,16.0
KFC,Kawa LaPe Macchiato/Coffe LaPe Macchiato 200 ml,200 g,72.0,5.0,2.0,8.0
KFC,Kawa LaPe Macchiato/Coffe LaPe Macchiato 400 ml,400 g,144.0,11.0,4.0,16.0
KFC,Coffe Moccha 200 ml,200 g,184.0,6.0,5.0,30.0
KFC,Caffe Mocchca 400 ml,400 g,368.0,11.0,9.0,60.0
KFC,Gorąca czekolada z mlekiem 200 ml,200 g,202.0,7.0,5.0,32.0
KFC,Gorąca czekolada z mlekiem 400 ml,400 g,404.0,13.0,11.0,64.0
KFC,Syrop o smaku waniliowym/ Vanilla syrup,10 g,34.0,0.0,0.0,8.4
KFC,Syrop o smaku słonego karmelu/ Salted caramel syrup,10 g,33.0,0.0,0.0,8.0
KFC,Iced LaPe Klasyczna,300 g,111.0,7.0,5.0,11.0
KFC,Gorąca czekolada 200 ml (bez mleka) / Hot chocolate 200 ml(without milk),200 g,102.0,6.0,2.0,19.0
KFC,Gorąca czekolada 400 ml (bez mleka) / Hot chocolate 400 ml(without milk),400 g,204.0,16.0,4.0,38.0
KFC,Pepsi Wielka Dolewka/ Pepsi Refill,350 g,98.0,0.0,0.0,25.0
KFC,Pepsi Wielka Dolewka XL / Pepsi Refill,500 g,140.0,0.0,0.0,35.0
KFC,Pepsi MAX Wielka Dolewka/ Pepsi MAX Refill,350 g,1.0,0.0,0.0,0.0
KFC,Pepsi MAX Wielka Dolewka XL / Pepsi MAX Refill,500 g,1.0,0.0,0.0,0.0
KFC,Lipton Ice tea Green Wielka Dolewka/ Lipton Ice tea Green Refill,350 g,105.0,0.0,0.0,25.0
KFC,Lipton Ice tea Green Wielka Dolewka XL / Lipton Ice tea Green Refill XL,500 g,150.0,0.0,0.0,35.0
KFC,Lipton Ice Tea Lemon Wielka Dolewka/ Lipton Ice Tea Lemon Refill,350 g,105.0,0.0,0.0,24.0
KFC,Lipton Ice Tea Lemon Wielka Dolewka XL / Lipton Ice Tea Lemon Refill XL,500 g,150.0,0.0,0.0,35.0
KFC,Mirinda Wielka Dolewka/ Mirinda Refill,350 g,168.0,0.0,0.0,45.0
KFC,Mirinda Wielka Dolewka XL / Mirinda Refill XL,500 g,240.0,0.0,0.0,65.0
KFC,Mirinda Free Wielka Dolewka/ Mirinda Free Refill,350 g,4.0,0.0,0.0,0.0
KFC,Mirinda Free Wielka Dolewka XL / Mirinda Free Refill XL,500 g,5.0,0.0,0.0,0.0
KFC,7UP Wielka Dolewka/ 7UP Refill,350 g,151.0,0.0,0.0,39.0
KFC,7UP Wielka Dolewka XL / 7UP Refill XL,500 g,215.0,0.0,0.0,56.0
KFC,7UP Free Wielka Dolewka/ 7UP Free Refill,350 g,4.0,0.0,0.0,0.0
KFC,7UP Free Wielka Dolewka XL / 7UP Free Refill XL,500 g,5.0,0.0,0.0,0.0
KFC,Herbata / Tea,200 g,2.0,0.0,0.0,0.0
KFC,Zimowy drink/ Winter drink,380 g,129.0,0.0,0.0,30.0
KFC,Bubble Tea Mango 180 m,150 g,63.0,0.0,0.0,17.0
KFC,Bubble tea Mango 300 ml ( na bazie Ice Tea Green Zero),230 g,97.0,1.0,0.0,25.0
KFC,Bubble tea Mango 500 ml ( na bazie Ice Tea Green Zero),450 g,189.0,1.0,0.0,50.0
KFC,Bubble Tea Mango 180 ml ( na bazie Ice Tea Green Zero),150 g,35.0,0.0,0.0,8.1
KFC,Bubble Tea Mango 300 ml ( na bazie Ice Tea Green Zero),230 g,53.0,0.0,0.0,12.0
KFC,Bubble Tea Mango 500 ml ( na bazie Ice Tea Green Zero),450 g,104.0,0.0,0.0,24.0
KFC,Bubble Tea Pink Grapefruit 180 ml,150 g,63.0,0.0,0.0,17.0
KFC,Bubble Tea Pink Grapefruit 300 ml,230 g,97.0,1.0,0.0,25.0
KFC,Bubble Tea Pink Grapefruit 500 ml,450 g,189.0,1.0,0.0,50.0
KFC,Bubble Tea Pink Grapefruit 180 ml (na bazie Ice Tea Green Zero),150 g,35.0,0.0,0.0,8.1
KFC,Bubble Tea Pink Grapefruit 300 ml (na bazie Ice Tea Green Zero),230 g,53.0,0.0,0.0,12.0
KFC,Bubble tea Pink Grapefruit 500 ml (na bazie Ice Tea Green Zero),450 g,104.0,0.0,0.0,24.0
KFC,"Lech Free 0,0% Puszka 0,5l",500 g,95.0,0.0,0.0,25.0
KFC,"Lech Free 0,0% Limonka Puszka 0,5l",500 g,140.0,0.0,0.0,37.0
KFC,Cheezy Crunch Burger Żurawinowy/ Cheesy Crunch Cranberry Burger,331 g,925.0,40.0,45.0,89.0
KFC,Cheezy Crunch Burger Tatarski/ Cheezy Crunch Tatar Burger,331 g,1032.0,40.0,64.0,75.0
KFC,Podwójny Cheezy Crunch Burger Żurawinowy/Double Cheesy Crunch Cranberry Burger,421 g,1238.0,46.0,66.0,115.0
KFC,Podwójny Cheezy Crunch Burger Tatarski/ Double Cheezy Crunch Tatar Burger,420 g,1344.0,46.0,84.0,100.0
KFC,MAFIA IRL BURGER,230 g,522.0,38.0,32.0,50.0
KFC,MAFIA IRL TWISTER,200 g,436.0,21.0,16.0,54.0
KFC,MAFIA IRL QURRITO,250 g,818.0,40.0,45.0,65.0
KFC,MAFIA IRL CHEEZY SNACK ( 4 pcs),70 g,215.0,7.0,14.0,17.0
KFC,"MAFIA IRL BUBBLE DRINK SMALL ( 7UP ""0"" Bib)",150 g,41.0,0.0,0.0,10.0
KFC,MAFIA IRL BUBBLE DRINK SMALL ( 7UP BoPle),150 g,69.0,0.0,0.0,17.0
KFC,"MAFIA IRL BUBBLE DRINK (7UP ""0"" Bib)",230 g,62.0,1.0,0.0,16.0
KFC,MAFIA IRL BUBBLE DRINK ( 7UP BoPle),230 g,106.0,1.0,0.0,26.0
KFC,"MAFIA IRL BUBBLE DRINK XL ( 7UP ""0"" Bib)",450 g,122.0,1.0,0.0,31.0
KFC,MAFIA IRL BUBBLE DRINK XL ( 7UP BoPle),450 g,207.0,1.0,0.0,52.0
KFC,MAFIA IRL SHAKE SMALL,170 g,265.0,5.0,6.0,35.0
KFC,Double Down,270 g,678.0,49.0,37.0,41.9
KFC,Double Down Gold,270 g,732.0,55.0,46.0,30.5
KFC,Cheezy Double Down,370 g,1017.0,57.0,59.0,68.5
KFC,Cheezy Double Down Gold,370 g,1094.0,63.0,68.0,56.8
KFC,Teriyaki Orient Box Rice,260 g,476.0,14.0,15.0,72.8
KFC,Sweet Chilli Orient Box Rice,260 g,697.0,19.0,16.0,119.6
KFC,Kentucky Gold Orient Box Rice,260 g,653.0,47.0,35.0,40.3
KFC,Teriyaki Orient Box,180 g,567.0,28.0,34.0,39.1
KFC,Sweet Chilli Orient Box,180 g,554.0,27.0,34.0,36.4
KFC,Kentucky Gold Orient Box,180 g,631.0,27.0,44.0,32.0
KFC,Shake Protein Vanilla 500 ml,400 g,528.0,36.0,14.0,63.0
McDonald's,Snack Wrap,,217.0,15.0,8.3,26.0
McDonald's,Big Arch®,,255.0,17.0,67.0,96.0
McDonald's,Urban Fries,,250.0,12.0,16.0,30.0
McDonald's,Gouda Donuts 3 szt.,,357.0,22.0,17.0,24.0
McDonald's,Maestro Grand Classic,,231.0,12.0,37.0,53.0
McDonald's,Maestro Bacon & Cheddar,,243.0,12.0,39.0,56.0
McDonald's,Sos Monica’s Marinara*,,140.0,0.5,0.2,0.0
McDonald's,McCrispy® Bacon Supreme,,233.0,10.0,26.0,38.0
McDonald's,Spicy McCrispy®,,254.0,11.0,24.0,35.0
McDonald's,McCrispy®,,237.0,10.0,23.0,33.0
McDonald's,Chicken Tenders,1 szt.**,271.0,14.0,6.3,15.0
McDonald's,Chicken Tenders,2 szt.**,271.0,14.0,13.0,15.0
McDonald's,Chicken Tenders,3 szt.,271.0,14.0,19.0,15.0
McDonald's,Chicken Tenders,5 szt.,271.0,14.0,32.0,15.0
McDonald's,Chicken Tenders,6 szt.,271.0,14.0,38.0,15.0
McDonald's,Veggie Burger**,,208.0,11.0,28.0,21.0
McDonald's,Veggie McWrap**,,211.0,11.0,31.0,21.0
McDonald's,Ciastko Mango & Marakuja,,360.0,17.0,14.0,48.0
McDonald's,Grimace Shake,,115.0,2.2,7.8,21.0
McDonald's,Grimace Shake z bitą śmietanką,,122.0,3.3,12.0,20.0
McDonald's,McFlurry® Pistacjowe,,234.0,9.5,15.0,32.0
McDonald's,Lody o smaku waniliowym z polewą pistacjową,w waflu,231.0,9.2,11.0,32.0
McDonald's,Lody o smaku waniliowym z polewą pistacjową,w kubku,217.0,9.4,11.0,28.0
McDonald's,Lody o smaku waniliowym z polewą o smaku czekoladowym,,185.0,5.3,8.1,30.0
McDonald's,Lody o smaku waniliowym z polewą truskawkową,,153.0,2.8,4.2,29.0
McDonald's,Lody o smaku waniliowym z polewą karmelową,,188.0,4.0,6.1,35.0
McDonald's,McFlurry® Lion®,,173.0,5.3,8.4,27.0
McDonald's,McFlurry® Lion® z polewą o smaku czekoladowym,,202.0,6.2,12.0,32.0
McDonald's,McFlurry® Lion® z polewą karmelową,,204.0,5.3,11.0,36.0
McDonald's,McFlurry® Lion® z polewą truskawkową,,178.0,4.3,8.5,31.0
McDonald's,McFlurry® KitKat®,,183.0,6.2,10.0,28.0
McDonald's,McFlurry® KitKat® z polewą o smaku czekoladowym,,209.0,6.9,14.0,32.0
McDonald's,McFlurry® KitKat® z polewą karmelową,,212.0,6.0,12.0,36.0
McDonald's,McFlurry® KitKat® z polewą truskawkową,,186.0,5.1,10.0,32.0
McDonald's,Shake z kawą,,102.0,2.0,7.8,18.0
McDonald's,Shake o smaku czekoladowym,"0,25l",118.0,2.3,4.0,21.0
McDonald's,Shake o smaku czekoladowym z bitą śmietanką,"0,25l",125.0,3.9,9.9,19.0
McDonald's,Shake o smaku czekoladowym,"0,4l",118.0,2.3,6.4,21.0
McDonald's,Shake o smaku czekoladowym z bitą śmietanką,"0,4l",121.0,3.4,13.0,19.0
McDonald's,Shake o smaku waniliowym,"0,25l",116.0,2.1,3.7,21.0
McDonald's,Shake o smaku waniliowym z bitą śmietanką,"0,25l",124.0,3.8,9.5,19.0
McDonald's,Shake o smaku waniliowym,"0,4l",116.0,2.1,5.9,21.0
McDonald's,Shake o smaku waniliowym z bitą śmietanką,"0,4l",120.0,3.3,12.0,20.0
McDonald's,Shake o smaku truskawkowym,"0,25l",117.0,2.1,3.7,21.0
McDonald's,Shake o smaku truskawkowym z bitą śmietanką,"0,25l",123.0,3.8,9.5,14.0
McDonald's,Shake o smaku truskawkowym,"0,4l",117.0,2.1,5.9,21.0
McDonald's,Shake o smaku truskawkowym z bitą śmietanką,"0,4l",119.0,3.3,12.0,14.0
McDonald's,Hamburger,,243.0,8.9,9.5,27.0
McDonald's,Cheeseburger,,254.0,11.0,13.0,30.0
McDonald's,Big Mac®,,231.0,12.0,29.0,42.0
McDonald's,McRoyal®,,256.0,13.0,29.0,38.0
McDonald's,WieśMac®,,261.0,16.0,38.0,35.0
McDonald's,McChicken®,,229.0,9.0,17.0,48.0
McDonald's,Jalapeño Burger,,250.0,12.0,14.0,28.0
McDonald's,Chikker®,,272.0,12.0,18.0,45.0
McDonald's,Red Chikker®,,225.0,6.1,9.3,49.0
McDonald's,McDouble®,,252.0,13.0,21.0,30.0
